year,month,route_id,ridership
2019,10,126,638
2019,10,127,315
2019,10,128,387
2019,10,129,936
2019,10,130,614
2019,10,131,711
2019,10,132,379
2019,10,133,84
2019,10,139,406
2019,10,150,35
2019,10,201,175
2019,10,204,216
2019,10,206,170
2019,10,310,474
2019,10,311,228
2019,10,47M,1103
2019,10,BLVDDIR,3417
2019,10,B1 OWL,1808
2019,10,63,17112
2019,10,71,4973
2019,10,41,2949
2019,10,K,9239
2019,10,51,7836
2019,10,LUCYGO,1635
2019,10,LUCYGR,1179
2019,10,L1 OWL,1999
2019,10,82,10439
2019,10,81,5953
2019,11,1,2910
2019,11,2,5018
2019,11,3,8766
2019,11,4,6712
2019,11,5,3669
2019,11,6,5999
2019,11,7,5014
2019,11,8,2633
2019,11,9,4509
2019,11,T1,10422
2019,11,T4,12460
2019,11,12,2425
2019,11,T3,12658
2019,11,14,6188
2019,11,G1,10194
2019,11,16,7063
2019,11,17,9405
2019,11,18,14490
2019,11,19,1365
2019,11,20,4762
2019,11,21,10129
2019,11,22,4528
2019,11,23,15678
2019,11,24,2242
2019,11,25,4346
2019,11,26,11748
2019,11,27,4437
2019,11,28,1894
2019,11,29,4611
2019,11,30,1267
2019,11,31,4883
2019,11,32,4908
2019,11,33,11572
2019,11,T2,12237
2019,11,35,150
2019,11,T5,13727
2019,11,37,3419
2019,11,38,2822
2019,11,39,2541
2019,11,40,7372
2019,11,42,9246
2019,11,43,3704
2019,11,44,3482
2019,11,45,6217
2019,11,46,5714
2019,11,47,17860
2019,11,48,7778
2019,11,49,3024
2019,11,50,1973
2019,11,52,14273
2019,11,53,2901
2019,11,54,7139
2019,11,55,5000
2019,11,56,10786
2019,11,57,10642
2019,11,58,8157
2019,11,59,4711
2019,11,60,10787
2019,11,61,4492
2019,11,62,249
2019,11,64,5990
2019,11,65,7925
2019,11,66,10806
2019,11,67,4884
2019,11,68,2471
2019,11,70,8356
2019,11,73,2393
2019,11,75,3363
2019,11,77,852
2019,11,78,78
2019,11,79,5610
2019,11,80,225
2019,11,84,3718
2019,11,88,2270
2019,11,89,1724
2019,11,90,408
2019,11,92,317
2019,11,93,1242
2019,11,94,491
2019,11,95,579
2019,11,96,1356
2019,11,97,686
2019,11,98,969
2019,11,99,1255
2019,11,D1,4180
2019,11,D2,4235
2019,11,103,1312
2019,11,104,2977
2019,11,105,1212
2019,11,106,1222
2019,11,107,968
2019,11,108,5322
2019,11,109,4269
2019,11,110,1967
2019,11,111,1438
2019,11,112,1099
2019,11,113,6713
2019,11,114,1871
2019,11,115,1211
2019,11,117,2011
2019,11,118,492
2019,11,119,732
2019,11,120,368
2019,11,123,996
2019,11,124,1934
2019,11,125,2264
2019,11,126,554
2019,11,127,312
2019,11,128,358
2019,11,129,892
2019,11,130,600
2019,11,131,734
2019,11,132,378
2019,11,133,86
2019,11,139,424
2019,11,150,30
2019,11,201,105
2019,11,204,208
2019,11,206,153
2019,11,310,457
2019,11,311,236
2019,11,47M,825
2019,11,BLVDDIR,3298
2019,11,B1 OWL,1867
2019,11,63,16704
2019,11,71,4982
2019,11,41,2865
2019,11,K,9117
2019,11,51,7648
2019,11,LUCYGO,1618
2019,11,LUCYGR,1090
2019,11,L1 OWL,1900
2019,11,82,10123
2019,11,81,5676
