city,date,route_id,mode,level,ridership
Philadelphia,2020-07-01,,Trolley,MODE,31135
Philadelphia,2020-08-01,,Bus,MODE,189252
Philadelphia,2020-08-01,,CCT,MODE,1611
Philadelphia,2020-08-01,,Heavy Rail,MODE,87788
Philadelphia,2020-08-01,,Regional Rail,MODE,18288
Philadelphia,2020-08-01,,Trackless Trolley,MODE,7963
Philadelphia,2020-08-01,,Trolley,MODE,26191
Philadelphia,2020-09-01,,Bus,MODE,205693
Philadelphia,2020-09-01,,CCT,MODE,1471
Philadelphia,2020-09-01,,Heavy Rail,MODE,96188
Philadelphia,2020-09-01,,Regional Rail,MODE,23479
Philadelphia,2020-09-01,,Trackless Trolley,MODE,7932
Philadelphia,2020-09-01,,Trolley,MODE,23834
Philadelphia,2020-10-01,,Bus,MODE,207445
Philadelphia,2020-10-01,,CCT,MODE,1588
Philadelphia,2020-10-01,,Heavy Rail,MODE,97333
Philadelphia,2020-10-01,,Regional Rail,MODE,22844
Philadelphia,2020-10-01,,Trackless Trolley,MODE,8510
Philadelphia,2020-10-01,,Trolley,MODE,23686
Philadelphia,2020-11-01,,Bus,MODE,193063
Philadelphia,2020-11-01,,CCT,MODE,2004
Philadelphia,2020-11-01,,Heavy Rail,MODE,88690
Philadelphia,2020-11-01,,Regional Rail,MODE,23836
Philadelphia,2020-11-01,,Trackless Trolley,MODE,7551
Philadelphia,2020-11-01,,Trolley,MODE,22903
Philadelphia,2020-12-01,,Bus,MODE,200729
Philadelphia,2020-12-01,,CCT,MODE,1314
Philadelphia,2020-12-01,,Heavy Rail,MODE,92190
Philadelphia,2020-12-01,,Regional Rail,MODE,23381
Philadelphia,2020-12-01,,Trackless Trolley,MODE,7431
Philadelphia,2020-12-01,,Trolley,MODE,24671
Philadelphia,2021-01-01,,Bus,MODE,184766
Philadelphia,2021-01-01,,CCT,MODE,1381
Philadelphia,2021-01-01,,Heavy Rail,MODE,88543
Philadelphia,2021-01-01,,Regional Rail,MODE,24283
Philadelphia,2021-01-01,,Trackless Trolley,MODE,6573
Philadelphia,2021-01-01,,Trolley,MODE,24608
Philadelphia,2021-02-01,,Bus,MODE,184944
Philadelphia,2021-02-01,,CCT,MODE,1399
Philadelphia,2021-02-01,,Heavy Rail,MODE,84876
Philadelphia,2021-02-01,,Regional Rail,MODE,15466
Philadelphia,2021-02-01,,Trackless Trolley,MODE,5884
Philadelphia,2021-02-01,,Trolley,MODE,24824
Philadelphia,2021-03-01,,Bus,MODE,208266
Philadelphia,2021-03-01,,CCT,MODE,2082
Philadelphia,2021-03-01,,Heavy Rail,MODE,94351
Philadelphia,2021-03-01,,Regional Rail,MODE,21225
Philadelphia,2021-03-01,,Trackless Trolley,MODE,7336
Philadelphia,2021-03-01,,Trolley,MODE,25485
Philadelphia,2021-04-01,,Bus,MODE,209824
Philadelphia,2021-04-01,,CCT,MODE,1833
Philadelphia,2021-04-01,,Heavy Rail,MODE,104843
Philadelphia,2021-04-01,,Regional Rail,MODE,21312
Philadelphia,2021-04-01,,Trackless Trolley,MODE,8331
Philadelphia,2021-04-01,,Trolley,MODE,27140
Philadelphia,2021-05-01,,Bus,MODE,216243
Philadelphia,2021-05-01,,CCT,MODE,3158
Philadelphia,2021-05-01,,Heavy Rail,MODE,109747
Philadelphia,2021-05-01,,Regional Rail,MODE,25380
Philadelphia,2021-05-01,,Trackless Trolley,MODE,8752
Philadelphia,2021-05-01,,Trolley,MODE,28242
Philadelphia,2021-06-01,,Bus,MODE,222345
Philadelphia,2021-06-01,,CCT,MODE,1564
Philadelphia,2021-06-01,,Heavy Rail,MODE,112267
Philadelphia,2021-06-01,,Regional Rail,MODE,28832
Philadelphia,2021-06-01,,Trackless Trolley,MODE,8289
Philadelphia,2021-06-01,,Trolley,MODE,30826
Philadelphia,2021-07-01,,Bus,MODE,232352
Philadelphia,2021-07-01,,CCT,MODE,1736
Philadelphia,2021-07-01,,Heavy Rail,MODE,115614
Philadelphia,2021-07-01,,Regional Rail,MODE,32582
Philadelphia,2021-07-01,,Trackless Trolley,MODE,8578
Philadelphia,2021-07-01,,Trolley,MODE,28434
Philadelphia,2021-08-01,,Bus,MODE,238176
Philadelphia,2021-08-01,,CCT,MODE,2478
Philadelphia,2021-08-01,,Heavy Rail,MODE,115936
Philadelphia,2021-08-01,,Regional Rail,MODE,33513
Philadelphia,2021-08-01,,Trackless Trolley,MODE,8269
Philadelphia,2021-08-01,,Trolley,MODE,30921
Philadelphia,2021-09-01,,Bus,MODE,291653
Philadelphia,2021-09-01,,CCT,MODE,2144
Philadelphia,2021-09-01,,Heavy Rail,MODE,151160
Philadelphia,2021-09-01,,Regional Rail,MODE,42560
Philadelphia,2021-09-01,,Trackless Trolley,MODE,10835
Philadelphia,2021-09-01,,Trolley,MODE,37844
Philadelphia,2021-10-01,,Bus,MODE,302979
Philadelphia,2021-10-01,,CCT,MODE,2236
Philadelphia,2021-10-01,,Heavy Rail,MODE,157350
Philadelphia,2021-10-01,,Regional Rail,MODE,53831
Philadelphia,2021-10-01,,Trackless Trolley,MODE,11480
Philadelphia,2021-10-01,,Trolley,MODE,37036
Philadelphia,2021-11-01,,Bus,MODE,293035
Philadelphia,2021-11-01,,CCT,MODE,2380
Philadelphia,2021-11-01,,Heavy Rail,MODE,150727
Philadelphia,2021-11-01,,Regional Rail,MODE,52291
Philadelphia,2021-11-01,,Trackless Trolley,MODE,11139
Philadelphia,2021-11-01,,Trolley,MODE,35881
Philadelphia,2021-12-01,,Bus,MODE,272915
Philadelphia,2021-12-01,,CCT,MODE,2351
Philadelphia,2021-12-01,,Heavy Rail,MODE,142023
Philadelphia,2021-12-01,,Regional Rail,MODE,47061
Philadelphia,2021-12-01,,Trackless Trolley,MODE,9677
Philadelphia,2021-12-01,,Trolley,MODE,34169
Philadelphia,2022-01-01,,Bus,MODE,243951
Philadelphia,2022-01-01,,CCT,MODE,2019
Philadelphia,2022-01-01,,Heavy Rail,MODE,115382
Philadelphia,2022-01-01,,Regional Rail,MODE,32407
Philadelphia,2022-01-01,,Trackless Trolley,MODE,7753
Philadelphia,2022-01-01,,Trolley,MODE,30631
Philadelphia,2022-02-01,,Bus,MODE,292800
Philadelphia,2022-02-01,,CCT,MODE,2309
Philadelphia,2022-02-01,,Heavy Rail,MODE,142654
Philadelphia,2022-02-01,,Regional Rail,MODE,48846
Philadelphia,2022-02-01,,Trackless Trolley,MODE,9078
Philadelphia,2022-02-01,,Trolley,MODE,40565
Philadelphia,2022-03-01,,Bus,MODE,303607
Philadelphia,2022-03-01,,CCT,MODE,2564
Philadelphia,2022-03-01,,Heavy Rail,MODE,145909
Philadelphia,2022-03-01,,Regional Rail,MODE,54994
Philadelphia,2022-03-01,,Trackless Trolley,MODE,10722
Philadelphia,2022-03-01,,Trolley,MODE,38122
Philadelphia,2022-04-01,,Bus,MODE,297311
Philadelphia,2022-04-01,,CCT,MODE,2677
Philadelphia,2022-04-01,,Heavy Rail,MODE,143797
Philadelphia,2022-04-01,,Regional Rail,MODE,54044
Philadelphia,2022-04-01,,Trackless Trolley,MODE,10035
Philadelphia,2022-04-01,,Trolley,MODE,35922
Philadelphia,2022-05-01,,Bus,MODE,313650
Philadelphia,2022-05-01,,CCT,MODE,2714
Philadelphia,2022-05-01,,Heavy Rail,MODE,140826
Philadelphia,2022-05-01,,Regional Rail,MODE,51962
Philadelphia,2022-05-01,,Trackless Trolley,MODE,10504
Philadelphia,2022-05-01,,Trolley,MODE,38581
Philadelphia,2022-06-01,,Bus,MODE,262689
Philadelphia,2022-06-01,,CCT,MODE,2631
Philadelphia,2022-06-01,,Heavy Rail,MODE,130480
Philadelphia,2022-06-01,,Regional Rail,MODE,55791
Philadelphia,2022-06-01,,Trackless Trolley,MODE,9227
Philadelphia,2022-06-01,,Trolley,MODE,35000
Philadelphia,2022-07-01,,Bus,MODE,272936
Philadelphia,2022-07-01,,CCT,MODE,2743
Philadelphia,2022-07-01,,Heavy Rail,MODE,120182
Philadelphia,2022-07-01,,Regional Rail,MODE,51583
Philadelphia,2022-07-01,,Trackless Trolley,MODE,8734
Philadelphia,2022-07-01,,Trolley,MODE,34354
Philadelphia,2022-08-01,,Bus,MODE,272216
Philadelphia,2022-08-01,,CCT,MODE,2742
