year,month,route_id,ridership,city
2019,9,129,923,Philadelphia
2019,9,130,672,Philadelphia
2019,9,131,686,Philadelphia
2019,9,132,392,Philadelphia
2019,9,133,90,Philadelphia
2019,9,139,424,Philadelphia
2019,9,150,38,Philadelphia
2019,9,201,159,Philadelphia
2019,9,204,222,Philadelphia
2019,9,206,172,Philadelphia
2019,9,310,442,Philadelphia
2019,9,311,228,Philadelphia
2019,9,47M,932,Philadelphia
2019,9,BLVDDIR,3401,Philadelphia
2019,9,B1 OWL,1861,Philadelphia
2019,9,63,16615,Philadelphia
2019,9,71,4498,Philadelphia
2019,9,41,3064,Philadelphia
2019,9,K,9320,Philadelphia
2019,9,51,7330,Philadelphia
2019,9,LUCYGO,1633,Philadelphia
2019,9,LUCYGR,1152,Philadelphia
2019,9,L1 OWL,2055,Philadelphia
2019,9,82,10194,Philadelphia
2019,9,81,5581,Philadelphia
2019,10,1,2986,Philadelphia
2019,10,2,5469,Philadelphia
2019,10,3,8836,Philadelphia
2019,10,4,7359,Philadelphia
2019,10,5,3798,Philadelphia
2019,10,6,5993,Philadelphia
2019,10,7,5216,Philadelphia
2019,10,8,2682,Philadelphia
2019,10,9,4856,Philadelphia
2019,10,T1,10422,Philadelphia
2019,10,T4,12150,Philadelphia
2019,10,12,2606,Philadelphia
2019,10,T3,13221,Philadelphia
2019,10,14,6102,Philadelphia
2019,10,G1,10194,Philadelphia
2019,10,16,7259,Philadelphia
2019,10,17,9220,Philadelphia
2019,10,18,14189,Philadelphia
2019,10,19,1405,Philadelphia
2019,10,20,4893,Philadelphia
2019,10,21,10013,Philadelphia
2019,10,22,4426,Philadelphia
2019,10,23,16409,Philadelphia
2019,10,24,2366,Philadelphia
2019,10,25,4481,Philadelphia
2019,10,26,11711,Philadelphia
2019,10,27,4608,Philadelphia
2019,10,28,2082,Philadelphia
2019,10,29,4632,Philadelphia
2019,10,30,1329,Philadelphia
2019,10,31,4974,Philadelphia
2019,10,32,5022,Philadelphia
2019,10,33,11772,Philadelphia
2019,10,T2,12041,Philadelphia
2019,10,35,149,Philadelphia
2019,10,T5,13620,Philadelphia
2019,10,37,3676,Philadelphia
2019,10,38,2856,Philadelphia
2019,10,39,2617,Philadelphia
2019,10,40,7595,Philadelphia
2019,10,42,9237,Philadelphia
2019,10,43,3973,Philadelphia
2019,10,44,3614,Philadelphia
2019,10,45,6417,Philadelphia
2019,10,46,5822,Philadelphia
2019,10,47,18392,Philadelphia
2019,10,48,7603,Philadelphia
2019,10,49,3139,Philadelphia
2019,10,50,2003,Philadelphia
2019,10,52,14548,Philadelphia
2019,10,53,3042,Philadelphia
2019,10,54,6978,Philadelphia
2019,10,55,4789,Philadelphia
2019,10,56,11609,Philadelphia
2019,10,57,10852,Philadelphia
2019,10,58,8710,Philadelphia
2019,10,59,5329,Philadelphia
2019,10,60,10527,Philadelphia
2019,10,61,4267,Philadelphia
2019,10,62,242,Philadelphia
2019,10,64,6458,Philadelphia
2019,10,65,8049,Philadelphia
2019,10,66,11261,Philadelphia
2019,10,67,5060,Philadelphia
2019,10,68,2232,Philadelphia
2019,10,70,8720,Philadelphia
2019,10,73,2525,Philadelphia
2019,10,75,3203,Philadelphia
2019,10,77,828,Philadelphia
2019,10,78,78,Philadelphia
2019,10,79,5662,Philadelphia
2019,10,80,231,Philadelphia
2019,10,84,3873,Philadelphia
2019,10,88,2410,Philadelphia
2019,10,89,1972,Philadelphia
2019,10,90,464,Philadelphia
2019,10,92,347,Philadelphia
2019,10,93,1241,Philadelphia
2019,10,94,577,Philadelphia
2019,10,95,585,Philadelphia
2019,10,96,1509,Philadelphia
2019,10,97,645,Philadelphia
2019,10,98,999,Philadelphia
2019,10,99,1309,Philadelphia
2019,10,D1,4180,Philadelphia
2019,10,D2,4235,Philadelphia
2019,10,103,1320,Philadelphia
2019,10,104,3399,Philadelphia
2019,10,105,1274,Philadelphia
2019,10,106,1351,Philadelphia
2019,10,107,1035,Philadelphia
2019,10,108,5372,Philadelphia
2019,10,109,4620,Philadelphia
2019,10,110,2077,Philadelphia
2019,10,111,1602,Philadelphia
2019,10,112,1202,Philadelphia
2019,10,113,6894,Philadelphia
2019,10,114,1967,Philadelphia
2019,10,115,1203,Philadelphia
2019,10,117,2086,Philadelphia
2019,10,118,569,Philadelphia
2019,10,119,723,Philadelphia
2019,10,120,420,Philadelphia
2019,10,123,930,Philadelphia
2019,10,124,1948,Philadelphia
2019,10,125,2330,Philadelphia
2019,10,126,638,Philadelphia
2019,10,127,315,Philadelphia
2019,10,128,387,Philadelphia
2019,10,129,936,Philadelphia
2019,10,130,614,Philadelphia
2019,10,131,711,Philadelphia
2019,10,132,379,Philadelphia
2019,10,133,84,Philadelphia
2019,10,139,406,Philadelphia
2019,10,150,35,Philadelphia
2019,10,201,175,Philadelphia
2019,10,204,216,Philadelphia
2019,10,206,170,Philadelphia
2019,10,310,474,Philadelphia
2019,10,311,228,Philadelphia
2019,10,47M,1103,Philadelphia
2019,10,BLVDDIR,3417,Philadelphia
2019,10,B1 OWL,1808,Philadelphia
2019,10,63,17112,Philadelphia
2019,10,71,4973,Philadelphia
2019,10,41,2949,Philadelphia
2019,10,K,9239,Philadelphia
2019,10,51,7836,Philadelphia
2019,10,LUCYGO,1635,Philadelphia
2019,10,LUCYGR,1179,Philadelphia
2019,10,L1 OWL,1999,Philadelphia
2019,10,82,10439,Philadelphia
2019,10,81,5953,Philadelphia
2019,11,1,2910,Philadelphia
2019,11,2,5018,Philadelphia
2019,11,3,8766,Philadelphia
2019,11,4,6712,Philadelphia
2019,11,5,3669,Philadelphia
2019,11,6,5999,Philadelphia
2019,11,7,5014,Philadelphia
2019,11,8,2633,Philadelphia
2019,11,9,4509,Philadelphia
2019,11,T1,10422,Philadelphia
2019,11,T4,12460,Philadelphia
2019,11,12,2425,Philadelphia
2019,11,T3,12658,Philadelphia
2019,11,14,6188,Philadelphia
2019,11,G1,10194,Philadelphia
2019,11,16,7063,Philadelphia
2019,11,17,9405,Philadelphia
2019,11,18,14490,Philadelphia
2019,11,19,1365,Philadelphia
2019,11,20,4762,Philadelphia
2019,11,21,10129,Philadelphia
2019,11,22,4528,Philadelphia
2019,11,23,15678,Philadelphia
2019,11,24,2242,Philadelphia
2019,11,25,4346,Philadelphia
2019,11,26,11748,Philadelphia
2019,11,27,4437,Philadelphia
2019,11,28,1894,Philadelphia
2019,11,29,4611,Philadelphia
2019,11,30,1267,Philadelphia
2019,11,31,4883,Philadelphia
2019,11,32,4908,Philadelphia
2019,11,33,11572,Philadelphia
2019,11,T2,12237,Philadelphia
2019,11,35,150,Philadelphia
2019,11,T5,13727,Philadelphia
2019,11,37,3419,Philadelphia
2019,11,38,2822,Philadelphia
2019,11,39,2541,Philadelphia
2019,11,40,7372,Philadelphia
2019,11,42,9246,Philadelphia
2019,11,43,3704,Philadelphia
2019,11,44,3482,Philadelphia
2019,11,45,6217,Philadelphia
2019,11,46,5714,Philadelphia
2019,11,47,17860,Philadelphia
2019,11,48,7778,Philadelphia
2019,11,49,3024,Philadelphia
2019,11,50,1973,Philadelphia
2019,11,52,14273,Philadelphia
2019,11,53,2901,Philadelphia
2019,11,54,7139,Philadelphia
2019,11,55,5000,Philadelphia
2019,11,56,10786,Philadelphia
2019,11,57,10642,Philadelphia
2019,11,58,8157,Philadelphia
2019,11,59,4711,Philadelphia
2019,11,60,10787,Philadelphia
2019,11,61,4492,Philadelphia
2019,11,62,249,Philadelphia
2019,11,64,5990,Philadelphia
2019,11,65,7925,Philadelphia
2019,11,66,10806,Philadelphia
2019,11,67,4884,Philadelphia
2019,11,68,2471,Philadelphia
2019,11,70,8356,Philadelphia
2019,11,73,2393,Philadelphia
2019,11,75,3363,Philadelphia
2019,11,77,852,Philadelphia
2019,11,78,78,Philadelphia
2019,11,79,5610,Philadelphia
2019,11,80,225,Philadelphia
2019,11,84,3718,Philadelphia
2019,11,88,2270,Philadelphia
2019,11,89,1724,Philadelphia
2019,11,90,408,Philadelphia
2019,11,92,317,Philadelphia
2019,11,93,1242,Philadelphia
2019,11,94,491,Philadelphia
2019,11,95,579,Philadelphia
2019,11,96,1356,Philadelphia
2019,11,97,686,Philadelphia
2019,11,98,969,Philadelphia
2019,11,99,1255,Philadelphia
2019,11,D1,4180,Philadelphia
2019,11,D2,4235,Philadelphia
2019,11,103,1312,Philadelphia
2019,11,104,2977,Philadelphia
2019,11,105,1212,Philadelphia
2019,11,106,1222,Philadelphia
2019,11,107,968,Philadelphia
2019,11,108,5322,Philadelphia
2019,11,109,4269,Philadelphia
2019,11,110,1967,Philadelphia
2019,11,111,1438,Philadelphia
2019,11,112,1099,Philadelphia
2019,11,113,6713,Philadelphia
2019,11,114,1871,Philadelphia
2019,11,115,1211,Philadelphia
2019,11,117,2011,Philadelphia
2019,11,118,492,Philadelphia
2019,11,119,732,Philadelphia
2019,11,120,368,Philadelphia
2019,11,123,996,Philadelphia
2019,11,124,1934,Philadelphia
2019,11,125,2264,Philadelphia
2019,11,126,554,Philadelphia
2019,11,127,312,Philadelphia
2019,11,128,358,Philadelphia
2019,11,129,892,Philadelphia
2019,11,130,600,Philadelphia
2019,11,131,734,Philadelphia
2019,11,132,378,Philadelphia
2019,11,133,86,Philadelphia
2019,11,139,424,Philadelphia
2019,11,150,30,Philadelphia
2019,11,201,105,Philadelphia
2019,11,204,208,Philadelphia
2019,11,206,153,Philadelphia
2019,11,310,457,Philadelphia
2019,11,311,236,Philadelphia
2019,11,47M,825,Philadelphia
2019,11,BLVDDIR,3298,Philadelphia
2019,11,B1 OWL,1867,Philadelphia
2019,11,63,16704,Philadelphia
2019,11,71,4982,Philadelphia
2019,11,41,2865,Philadelphia
2019,11,K,9117,Philadelphia
2019,11,51,7648,Philadelphia
2019,11,LUCYGO,1618,Philadelphia
2019,11,LUCYGR,1090,Philadelphia
2019,11,L1 OWL,1900,Philadelphia
2019,11,82,10123,Philadelphia
2019,11,81,5676,Philadelphia
2019,12,1,2368,Philadelphia
2019,12,2,4746,Philadelphia
2019,12,3,7304,Philadelphia
2019,12,4,6472,Philadelphia
2019,12,5,3182,Philadelphia
2019,12,6,4964,Philadelphia
2019,12,7,4598,Philadelphia
2019,12,8,2512,Philadelphia
2019,12,9,4036,Philadelphia
2019,12,T1,10422,Philadelphia
2019,12,T4,11965,Philadelphia
2019,12,12,2380,Philadelphia
2019,12,T3,12380,Philadelphia
2019,12,14,5491,Philadelphia
2019,12,G1,10194,Philadelphia
2019,12,16,5959,Philadelphia
2019,12,17,8284,Philadelphia
2019,12,18,12738,Philadelphia
2019,12,19,1161,Philadelphia
2019,12,20,4182,Philadelphia
2019,12,21,8915,Philadelphia
2019,12,22,3929,Philadelphia
2019,12,23,14485,Philadelphia
2019,12,24,1955,Philadelphia
2019,12,25,3799,Philadelphia
2019,12,26,10152,Philadelphia
2019,12,27,3539,Philadelphia
2019,12,28,1696,Philadelphia
2019,12,29,3938,Philadelphia
2019,12,30,1108,Philadelphia
2019,12,31,4026,Philadelphia
2019,12,32,4060,Philadelphia
2019,12,33,9985,Philadelphia
2019,12,T2,11756,Philadelphia
2019,12,35,122,Philadelphia
2019,12,T5,12902,Philadelphia
2019,12,37,3164,Philadelphia
2019,12,38,2291,Philadelphia
2019,12,39,2195,Philadelphia
2019,12,40,6405,Philadelphia
2019,12,42,8197,Philadelphia
2019,12,43,2894,Philadelphia
2019,12,44,2897,Philadelphia
2019,12,45,5672,Philadelphia
2019,12,46,4956,Philadelphia
2019,12,47,15695,Philadelphia
2019,12,48,6764,Philadelphia
2019,12,49,2699,Philadelphia
2019,12,50,1803,Philadelphia
2019,12,52,12952,Philadelphia
2019,12,53,2579,Philadelphia
2019,12,54,5927,Philadelphia
2019,12,55,4245,Philadelphia
2019,12,56,10167,Philadelphia
2019,12,57,9046,Philadelphia
2019,12,58,7373,Philadelphia
2019,12,59,4272,Philadelphia
2019,12,60,9231,Philadelphia
2019,12,61,3989,Philadelphia
2019,12,62,203,Philadelphia
2019,12,64,5321,Philadelphia
2019,12,65,6953,Philadelphia
2019,12,66,9647,Philadelphia
2019,12,67,4406,Philadelphia
2019,12,68,2080,Philadelphia
2019,12,70,7322,Philadelphia
2019,12,73,2196,Philadelphia
2019,12,75,3363,Philadelphia
2019,12,77,706,Philadelphia
2019,12,78,62,Philadelphia
2019,12,79,4913,Philadelphia
2019,12,80,168,Philadelphia
2019,12,84,3076,Philadelphia
2019,12,88,2039,Philadelphia
2019,12,89,1562,Philadelphia
2019,12,90,399,Philadelphia
2019,12,92,265,Philadelphia
2019,12,93,1205,Philadelphia
2019,12,94,421,Philadelphia
2019,12,95,514,Philadelphia
2019,12,96,1238,Philadelphia
2019,12,97,598,Philadelphia
2019,12,98,986,Philadelphia
2019,12,99,1253,Philadelphia
2019,12,D1,4180,Philadelphia
2019,12,D2,4235,Philadelphia
2019,12,103,1151,Philadelphia
2019,12,104,2927,Philadelphia
2019,12,105,1085,Philadelphia
2019,12,106,1126,Philadelphia
2019,12,107,980,Philadelphia
2019,12,108,4934,Philadelphia
2019,12,109,4310,Philadelphia
2019,12,110,2046,Philadelphia
2019,12,111,1437,Philadelphia
2019,12,112,939,Philadelphia
2019,12,113,6436,Philadelphia
2019,12,114,1824,Philadelphia
2019,12,115,1045,Philadelphia
2019,12,117,1874,Philadelphia
2019,12,118,387,Philadelphia
2019,12,119,694,Philadelphia
2019,12,120,369,Philadelphia
2019,12,123,1028,Philadelphia
2019,12,124,1823,Philadelphia
2019,12,125,2132,Philadelphia
2019,12,126,567,Philadelphia
2019,12,127,294,Philadelphia
2019,12,128,361,Philadelphia
2019,12,129,852,Philadelphia
2019,12,130,505,Philadelphia
2019,12,131,702,Philadelphia
2019,12,132,329,Philadelphia
2019,12,133,61,Philadelphia
2019,12,139,373,Philadelphia
2019,12,150,30,Philadelphia
2019,12,201,143,Philadelphia
2019,12,204,184,Philadelphia
2019,12,206,134,Philadelphia
2019,12,310,386,Philadelphia
2019,12,311,215,Philadelphia
2019,12,47M,902,Philadelphia
2019,12,BLVDDIR,2794,Philadelphia
2019,12,B1 OWL,1733,Philadelphia
2019,12,63,15629,Philadelphia
2019,12,71,4366,Philadelphia
2019,12,41,2489,Philadelphia
2019,12,K,7738,Philadelphia
2019,12,51,6257,Philadelphia
2019,12,LUCYGO,1533,Philadelphia
2019,12,LUCYGR,965,Philadelphia
2019,12,L1 OWL,1754,Philadelphia
2019,12,82,8779,Philadelphia
2019,12,81,5050,Philadelphia
2020,1,1,2668,Philadelphia
2020,1,2,5746,Philadelphia
2020,1,3,8426,Philadelphia
2020,1,4,7208,Philadelphia
2020,1,5,3671,Philadelphia
2020,1,6,5886,Philadelphia
2020,1,7,5324,Philadelphia
2020,1,8,3047,Philadelphia
2020,1,9,4642,Philadelphia
2020,1,T1,10422,Philadelphia
2020,1,T4,12669,Philadelphia
2020,1,12,2626,Philadelphia
2020,1,T3,12094,Philadelphia
2020,1,14,5937,Philadelphia
2020,1,G1,10194,Philadelphia
2020,1,16,7136,Philadelphia
