year,month,mode,ridership,city
2021,2,Bus,184944,Philadelphia
2021,2,CCT,1399,Philadelphia
2021,2,Heavy Rail,84876,Philadelphia
2021,2,Regional Rail,15466,Philadelphia
2021,2,Trackless Trolley,5884,Philadelphia
2021,2,Trolley,24824,Philadelphia
2021,3,Bus,208266,Philadelphia
2021,3,CCT,2082,Philadelphia
2021,3,Heavy Rail,94351,Philadelphia
2021,3,Regional Rail,21225,Philadelphia
2021,3,Trackless Trolley,7336,Philadelphia
2021,3,Trolley,25485,Philadelphia
2021,4,Bus,209824,Philadelphia
2021,4,CCT,1833,Philadelphia
2021,4,Heavy Rail,104843,Philadelphia
2021,4,Regional Rail,21312,Philadelphia
2021,4,Trackless Trolley,8331,Philadelphia
2021,4,Trolley,27140,Philadelphia
2021,5,Bus,216243,Philadelphia
2021,5,CCT,3158,Philadelphia
2021,5,Heavy Rail,109747,Philadelphia
2021,5,Regional Rail,25380,Philadelphia
2021,5,Trackless Trolley,8752,Philadelphia
2021,5,Trolley,28242,Philadelphia
2021,6,Bus,222345,Philadelphia
2021,6,CCT,1564,Philadelphia
2021,6,Heavy Rail,112267,Philadelphia
2021,6,Regional Rail,28832,Philadelphia
2021,6,Trackless Trolley,8289,Philadelphia
2021,6,Trolley,30826,Philadelphia
2021,7,Bus,232352,Philadelphia
2021,7,CCT,1736,Philadelphia
2021,7,Heavy Rail,115614,Philadelphia
2021,7,Regional Rail,32582,Philadelphia
2021,7,Trackless Trolley,8578,Philadelphia
2021,7,Trolley,28434,Philadelphia
2021,8,Bus,238176,Philadelphia
2021,8,CCT,2478,Philadelphia
2021,8,Heavy Rail,115936,Philadelphia
2021,8,Regional Rail,33513,Philadelphia
2021,8,Trackless Trolley,8269,Philadelphia
2021,8,Trolley,30921,Philadelphia
2021,9,Bus,291653,Philadelphia
2021,9,CCT,2144,Philadelphia
2021,9,Heavy Rail,151160,Philadelphia
2021,9,Regional Rail,42560,Philadelphia
2021,9,Trackless Trolley,10835,Philadelphia
2021,9,Trolley,37844,Philadelphia
2021,10,Bus,302979,Philadelphia
2021,10,CCT,2236,Philadelphia
2021,10,Heavy Rail,157350,Philadelphia
2021,10,Regional Rail,53831,Philadelphia
2021,10,Trackless Trolley,11480,Philadelphia
2021,10,Trolley,37036,Philadelphia
2021,11,Bus,293035,Philadelphia
2021,11,CCT,2380,Philadelphia
2021,11,Heavy Rail,150727,Philadelphia
2021,11,Regional Rail,52291,Philadelphia
2021,11,Trackless Trolley,11139,Philadelphia
2021,11,Trolley,35881,Philadelphia
2021,12,Bus,272915,Philadelphia
2021,12,CCT,2351,Philadelphia
2021,12,Heavy Rail,142023,Philadelphia
2021,12,Regional Rail,47061,Philadelphia
2021,12,Trackless Trolley,9677,Philadelphia
2021,12,Trolley,34169,Philadelphia
2022,1,Bus,243951,Philadelphia
2022,1,CCT,2019,Philadelphia
2022,1,Heavy Rail,115382,Philadelphia
2022,1,Regional Rail,32407,Philadelphia
2022,1,Trackless Trolley,7753,Philadelphia
2022,1,Trolley,30631,Philadelphia
2022,2,Bus,292800,Philadelphia
2022,2,CCT,2309,Philadelphia
2022,2,Heavy Rail,142654,Philadelphia
2022,2,Regional Rail,48846,Philadelphia
2022,2,Trackless Trolley,9078,Philadelphia
2022,2,Trolley,40565,Philadelphia
2022,3,Bus,303607,Philadelphia
2022,3,CCT,2564,Philadelphia
2022,3,Heavy Rail,145909,Philadelphia
2022,3,Regional Rail,54994,Philadelphia
2022,3,Trackless Trolley,10722,Philadelphia
2022,3,Trolley,38122,Philadelphia
2022,4,Bus,297311,Philadelphia
2022,4,CCT,2677,Philadelphia
2022,4,Heavy Rail,143797,Philadelphia
2022,4,Regional Rail,54044,Philadelphia
2022,4,Trackless Trolley,10035,Philadelphia
2022,4,Trolley,35922,Philadelphia
2022,5,Bus,313650,Philadelphia
2022,5,CCT,2714,Philadelphia
2022,5,Heavy Rail,140826,Philadelphia
2022,5,Regional Rail,51962,Philadelphia
2022,5,Trackless Trolley,10504,Philadelphia
2022,5,Trolley,38581,Philadelphia
2022,6,Bus,262689,Philadelphia
2022,6,CCT,2631,Philadelphia
2022,6,Heavy Rail,130480,Philadelphia
2022,6,Regional Rail,55791,Philadelphia
2022,6,Trackless Trolley,9227,Philadelphia
2022,6,Trolley,35000,Philadelphia
2022,7,Bus,272936,Philadelphia
2022,7,CCT,2743,Philadelphia
2022,7,Heavy Rail,120182,Philadelphia
2022,7,Regional Rail,51583,Philadelphia
2022,7,Trackless Trolley,8734,Philadelphia
2022,7,Trolley,34354,Philadelphia
2022,8,Bus,272216,Philadelphia
2022,8,CCT,2742,Philadelphia
2022,8,Heavy Rail,128345,Philadelphia
2022,8,Regional Rail,53394,Philadelphia
2022,8,Trackless Trolley,8728,Philadelphia
2022,8,Trolley,44765,Philadelphia
2022,9,Bus,341880,Philadelphia
2022,9,CCT,2864,Philadelphia
2022,9,Heavy Rail,147378,Philadelphia
2022,9,Regional Rail,62122,Philadelphia
2022,9,Trackless Trolley,10641,Philadelphia
2022,9,Trolley,39475,Philadelphia
2022,10,Bus,340544,Philadelphia
2022,10,CCT,2857,Philadelphia
2022,10,Heavy Rail,156381,Philadelphia
2022,10,Regional Rail,63954,Philadelphia
2022,10,Trackless Trolley,11084,Philadelphia
2022,10,Trolley,39046,Philadelphia
2022,11,Bus,338481,Philadelphia
2022,11,CCT,2851,Philadelphia
2022,11,Heavy Rail,145873,Philadelphia
2022,11,Regional Rail,64215,Philadelphia
2022,11,Trackless Trolley,10195,Philadelphia
2022,11,Trolley,40666,Philadelphia
2022,12,Bus,299614,Philadelphia
2022,12,CCT,2869,Philadelphia
2022,12,Heavy Rail,136539,Philadelphia
2022,12,Regional Rail,60226,Philadelphia
2022,12,Trackless Trolley,9677,Philadelphia
2022,12,Trolley,37275,Philadelphia
2023,1,Bus,319605,Philadelphia
2023,1,CCT,2834,Philadelphia
2023,1,Heavy Rail,142909,Philadelphia
2023,1,Regional Rail,62311,Philadelphia
2023,1,Trackless Trolley,8931,Philadelphia
2023,1,Trolley,39738,Philadelphia
2023,2,Bus,342049,Philadelphia
2023,2,CCT,2882,Philadelphia
2023,2,Heavy Rail,144909,Philadelphia
2023,2,Regional Rail,64720,Philadelphia
2023,2,Trackless Trolley,8742,Philadelphia
2023,2,Trolley,44706,Philadelphia
2023,3,Bus,341407,Philadelphia
2023,3,CCT,2982,Philadelphia
2023,3,Heavy Rail,137699,Philadelphia
2023,3,Regional Rail,66514,Philadelphia
2023,3,Trackless Trolley,9594,Philadelphia
2023,3,Trolley,39744,Philadelphia
2023,4,Bus,336495,Philadelphia
2023,4,CCT,2952,Philadelphia
2023,4,Heavy Rail,138287,Philadelphia
2023,4,Regional Rail,66900,Philadelphia
2023,4,Trackless Trolley,9656,Philadelphia
2023,4,Trolley,38427,Philadelphia
2023,5,Bus,359462,Philadelphia
2023,5,CCT,2985,Philadelphia
2023,5,Heavy Rail,143856,Philadelphia
2023,5,Regional Rail,65979,Philadelphia
2023,5,Trackless Trolley,10310,Philadelphia
2023,5,Trolley,47563,Philadelphia
2023,6,Bus,302745,Philadelphia
2023,6,CCT,2981,Philadelphia
2023,6,Heavy Rail,134429,Philadelphia
2023,6,Regional Rail,66067,Philadelphia
2023,6,Trackless Trolley,8757,Philadelphia
2023,6,Trolley,43548,Philadelphia
2023,7,Bus,297469,Philadelphia
2023,7,CCT,2921,Philadelphia
2023,7,Heavy Rail,129900,Philadelphia
2023,7,Regional Rail,61204,Philadelphia
2023,7,Trackless Trolley,8734,Philadelphia
2023,7,Trolley,40544,Philadelphia
2023,8,Bus,307127,Philadelphia
