year,month,route,ridership
2019,3,147,312949
2019,3,148,50968
2019,3,15,191503
2019,3,151,403739
2019,3,152,235682
2019,3,155,170904
2019,3,156,140554
2019,3,157,129750
2019,3,165,4117
2019,3,169,3173
2019,3,171,26424
2019,3,172,42389
2019,3,18,98649
2019,3,19,5848
2019,3,192,16623
2019,3,2,72353
2019,3,20,436607
2019,3,201,54480
2019,3,206,12651
2019,3,21,237923
2019,3,22,449023
2019,3,24,58451
2019,3,26,88904
2019,3,28,147429
2019,3,29,296026
2019,3,3,426238
2019,3,30,77966
2019,3,31,10728
2019,3,34,120888
2019,3,35,118787
2019,3,36,354759
2019,3,37,32371
2019,3,39,44723
2019,3,4,513638
2019,3,43,35019
2019,3,44,79772
2019,3,47,239517
2019,3,48,20415
2019,3,49,433365
2019,3,49B,138008
2019,3,5,10901
2019,3,50,255229
2019,3,51,33960
2019,3,52,314679
2019,3,52A,97711
2019,3,53,479108
2019,3,53A,184522
2019,3,54,258968
2019,3,54A,14374
2019,3,54B,70788
2019,3,55,239720
2019,3,55A,6393
2019,3,55N,12273
2019,3,56,215869
2019,3,57,59209
2019,3,59,75541
2019,3,6,250227
2019,3,60,280349
2019,3,62,261321
2019,3,62H,20602
2019,3,63,396760
2019,3,63W,34829
2019,3,65,209078
2019,3,66,570348
2019,3,67,254890
2019,3,68,28233
2019,3,7,111210
2019,3,70,219763
2019,3,71,237440
2019,3,72,371944
2019,3,73,137628
2019,3,74,304856
2019,3,75,178574
2019,3,76,290840
2019,3,77,500605
2019,3,78,197817
2019,3,79,624242
2019,3,8,558743
2019,3,80,276825
2019,3,81,297101
2019,3,81W,39351
2019,3,82,430893
2019,3,84,94948
2019,3,85,234357
2019,3,85A,15351
2019,3,86,55229
2019,3,87,289803
2019,3,88,28487
2019,3,8A,73571
2019,3,9,478692
2019,3,90,107550
2019,3,91,156624
2019,3,92,158970
2019,3,93,80392
2019,3,94,198963
2019,3,95,145333
2019,3,96,16295
2019,3,97,75999
2019,3,J14,261419
2019,3,X49,140896
2019,3,X9,173789
2019,3,X98,266
2019,4,1,37632
2019,4,100,10020
2019,4,1001,2681
2019,4,103,47727
2019,4,106,27218
2019,4,108,21643
2019,4,11,38423
2019,4,111,74310
2019,4,111A,5196
2019,4,112,42394
2019,4,115,71269
2019,4,119,105107
2019,4,12,310197
2019,4,120,17305
2019,4,121,24529
2019,4,124,28493
2019,4,125,25585
2019,4,126,123425
2019,4,134,66095
2019,4,135,77830
2019,4,136,43314
2019,4,143,39656
2019,4,146,347865
2019,4,147,313526
2019,4,148,55071
2019,4,15,179287
2019,4,151,403484
2019,4,152,231512
2019,4,155,172867
2019,4,156,146261
2019,4,157,143690
2019,4,165,4090
2019,4,169,2005
2019,4,171,30622
2019,4,172,54675
2019,4,18,100370
2019,4,19,1475
2019,4,192,17856
2019,4,2,78702
2019,4,20,414498
2019,4,201,60003
2019,4,206,14925
2019,4,21,235228
2019,4,22,443481
2019,4,24,57336
2019,4,26,91833
2019,4,28,144192
2019,4,29,291728
2019,4,3,428662
2019,4,30,74676
2019,4,31,12151
2019,4,34,118610
2019,4,35,119472
2019,4,36,342964
2019,4,37,32299
2019,4,39,44684
2019,4,4,510448
2019,4,43,34408
2019,4,44,76403
2019,4,47,233178
2019,4,48,18250
2019,4,49,419650
2019,4,49B,133949
2019,4,5,11610
2019,4,50,240248
2019,4,51,33154
2019,4,52,309848
2019,4,52A,98004
2019,4,53,459593
2019,4,53A,176554
2019,4,54,253773
2019,4,54A,16095
2019,4,54B,72666
2019,4,55,233188
2019,4,55A,6543
2019,4,55N,12027
2019,4,56,202984
2019,4,57,55696
2019,4,59,74636
2019,4,6,251861
2019,4,60,292636
2019,4,62,256554
2019,4,62H,20824
