ridership,daytype,date,route,month_beginning,avg_weekday_rides,monthtotal,avg_sunday_holiday_rides,avg_saturday_rides,routename
666,W,2001-01-03,100,2001-01-01,1167.0,25673.0,0.0,0.0,Jeffery Manor Express
2540,U,2001-01-01,155,2001-01-01,7283.4,198930.0,3555.3,5229.9,Devon
3312,W,2001-01-05,24,2001-01-01,3893.4,85655.0,0.0,0.0,Wentworth
945,U,2001-01-01,97,2001-01-01,3681.4,95096.0,1167.5,2066.7,Skokie
209,W,2001-01-04,69,2001-01-01,417.2,8761.0,0.0,0.0,Cumberland/East River
515,W,2001-01-04,169,2001-01-01,885.9,19704.0,0.0,53.7,69th-UPS Express
7496,W,2001-01-04,50,2001-01-01,8322.7,213128.0,2470.1,4419.7,Damen
1571,U,2001-01-01,49B,2001-01-01,5087.6,133958.0,1954.1,3065.0,North Western
6212,W,2001-01-04,65,2001-01-01,6695.3,169020.0,1805.7,3173.9,Grand
5488,W,2001-01-02,75,2001-01-01,7081.7,188676.0,2795.5,4725.3,74th-75th
1365,W,2001-01-03,121,2001-01-01,1210.6,26633.0,0.0,0.0,Union/Wacker Express
21221,W,2001-01-04,20,2001-01-01,21570.3,566683.0,8184.0,12804.3,Madison
13516,W,2001-01-04,56,2001-01-01,14274.6,381555.0,6174.4,9160.4,Milwaukee
25393,W,2001-01-03,9,2001-01-01,29265.4,811006.0,15336.1,22621.7,Ashland
5462,U,2001-01-01,28,2001-01-01,11964.9,336246.0,5587.8,11269.6,Stony Island
4143,U,2001-01-01,85,2001-01-01,13188.5,346996.0,4850.7,8148.9,Central
792,W,2001-01-04,172,2001-01-01,890.2,20116.0,46.6,74.4,U. of Chicago/Kenwood
200,U,2001-01-01,81W,2001-01-01,1577.3,39738.0,337.6,837.2,West Lawrence
14144,W,2001-01-03,56,2001-01-01,14274.6,381555.0,6174.4,9160.4,Milwaukee
8254,W,2001-01-04,47,2001-01-01,8069.8,220680.0,3490.7,6422.7,47th
713,U,2001-01-01,112,2001-01-01,3874.0,95661.0,935.1,1439.3,Vincennes/111th
7635,W,2001-01-03,126,2001-01-01,10129.2,255239.0,2650.5,4785.9,Jackson
12428,W,2001-01-04,55,2001-01-01,12778.5,350112.0,6495.9,9126.4,Garfield
