year,month,route,ridership,city
2019,2,48,972,Chicago
2019,2,49,13640,Chicago
2019,2,49B,4353,Chicago
2019,2,5,399,Chicago
2019,2,50,8093,Chicago
2019,2,51,1129,Chicago
2019,2,52,9965,Chicago
2019,2,52A,3098,Chicago
2019,2,53,15162,Chicago
2019,2,53A,5719,Chicago
2019,2,54,8206,Chicago
2019,2,54A,664,Chicago
2019,2,54B,2172,Chicago
2019,2,55,7692,Chicago
2019,2,55A,294,Chicago
2019,2,55N,485,Chicago
2019,2,56,7128,Chicago
2019,2,57,1919,Chicago
2019,2,59,2831,Chicago
2019,2,6,7777,Chicago
2019,2,60,9320,Chicago
2019,2,62,8131,Chicago
2019,2,62H,759,Chicago
2019,2,63,12761,Chicago
2019,2,63W,1162,Chicago
2019,2,65,6618,Chicago
2019,2,66,18052,Chicago
2019,2,67,8073,Chicago
2019,2,68,887,Chicago
2019,2,7,5661,Chicago
2019,2,70,7178,Chicago
2019,2,71,7586,Chicago
2019,2,72,11888,Chicago
2019,2,73,4394,Chicago
2019,2,74,9894,Chicago
2019,2,75,5729,Chicago
2019,2,76,9296,Chicago
2019,2,77,16324,Chicago
2019,2,78,6292,Chicago
2019,2,79,20210,Chicago
2019,2,8,18981,Chicago
2019,2,80,8839,Chicago
2019,2,81,9383,Chicago
2019,2,81W,1287,Chicago
2019,2,82,13957,Chicago
2019,2,84,2915,Chicago
2019,2,85,7416,Chicago
2019,2,85A,566,Chicago
2019,2,86,2531,Chicago
2019,2,87,9373,Chicago
2019,2,88,954,Chicago
2019,2,8A,2288,Chicago
2019,2,9,15077,Chicago
2019,2,90,3272,Chicago
2019,2,91,5171,Chicago
2019,2,92,5144,Chicago
2019,2,93,3013,Chicago
2019,2,94,6398,Chicago
2019,2,95,4556,Chicago
2019,2,96,792,Chicago
2019,2,97,2398,Chicago
2019,2,J14,8530,Chicago
2019,2,X49,6481,Chicago
2019,2,X9,8059,Chicago
2019,2,X98,14,Chicago
2019,3,1,1764,Chicago
2019,3,100,500,Chicago
2019,3,1001,49,Chicago
2019,3,103,1607,Chicago
2019,3,106,1010,Chicago
2019,3,108,1052,Chicago
2019,3,11,1236,Chicago
2019,3,111,2609,Chicago
2019,3,111A,152,Chicago
2019,3,112,1537,Chicago
2019,3,115,2389,Chicago
2019,3,119,3500,Chicago
2019,3,12,10188,Chicago
2019,3,120,830,Chicago
2019,3,121,1154,Chicago
2019,3,124,949,Chicago
2019,3,125,1180,Chicago
2019,3,126,4037,Chicago
2019,3,134,2931,Chicago
2019,3,135,3600,Chicago
2019,3,136,1939,Chicago
2019,3,143,1785,Chicago
2019,3,146,11152,Chicago
2019,3,147,10095,Chicago
2019,3,148,2427,Chicago
2019,3,15,6178,Chicago
2019,3,151,13024,Chicago
2019,3,152,7603,Chicago
2019,3,155,5513,Chicago
2019,3,156,6693,Chicago
2019,3,157,6179,Chicago
2019,3,165,196,Chicago
2019,3,169,132,Chicago
2019,3,171,852,Chicago
2019,3,172,1367,Chicago
2019,3,18,3182,Chicago
2019,3,19,278,Chicago
2019,3,192,792,Chicago
2019,3,2,3445,Chicago
2019,3,20,14084,Chicago
2019,3,201,2095,Chicago
2019,3,206,602,Chicago
2019,3,21,7675,Chicago
2019,3,22,14485,Chicago
2019,3,24,2783,Chicago
2019,3,26,4234,Chicago
2019,3,28,4756,Chicago
2019,3,29,9549,Chicago
2019,3,3,13750,Chicago
2019,3,30,2515,Chicago
2019,3,31,511,Chicago
2019,3,34,3900,Chicago
2019,3,35,3832,Chicago
2019,3,36,11444,Chicago
2019,3,37,1541,Chicago
2019,3,39,1443,Chicago
2019,3,4,16569,Chicago
2019,3,43,1130,Chicago
2019,3,44,2573,Chicago
2019,3,47,7726,Chicago
2019,3,48,972,Chicago
2019,3,49,13980,Chicago
2019,3,49B,4452,Chicago
2019,3,5,352,Chicago
2019,3,50,8233,Chicago
2019,3,51,1095,Chicago
2019,3,52,10151,Chicago
2019,3,52A,3152,Chicago
2019,3,53,15455,Chicago
2019,3,53A,5952,Chicago
2019,3,54,8354,Chicago
2019,3,54A,684,Chicago
2019,3,54B,2283,Chicago
2019,3,55,7733,Chicago
2019,3,55A,304,Chicago
2019,3,55N,472,Chicago
2019,3,56,6964,Chicago
2019,3,57,1910,Chicago
2019,3,59,2905,Chicago
2019,3,6,8072,Chicago
2019,3,60,9044,Chicago
2019,3,62,8430,Chicago
2019,3,62H,792,Chicago
2019,3,63,12799,Chicago
2019,3,63W,1124,Chicago
2019,3,65,6744,Chicago
2019,3,66,18398,Chicago
2019,3,67,8222,Chicago
2019,3,68,911,Chicago
2019,3,7,5296,Chicago
2019,3,70,7089,Chicago
2019,3,71,7659,Chicago
2019,3,72,11998,Chicago
2019,3,73,4440,Chicago
2019,3,74,9834,Chicago
2019,3,75,5760,Chicago
2019,3,76,9382,Chicago
2019,3,77,16149,Chicago
2019,3,78,6381,Chicago
2019,3,79,20137,Chicago
2019,3,8,18024,Chicago
2019,3,80,8930,Chicago
2019,3,81,9584,Chicago
2019,3,81W,1269,Chicago
2019,3,82,13900,Chicago
2019,3,84,3063,Chicago
2019,3,85,7560,Chicago
2019,3,85A,590,Chicago
2019,3,86,2630,Chicago
2019,3,87,9348,Chicago
2019,3,88,919,Chicago
2019,3,8A,2373,Chicago
2019,3,9,15442,Chicago
2019,3,90,3469,Chicago
2019,3,91,5052,Chicago
2019,3,92,5128,Chicago
2019,3,93,3092,Chicago
2019,3,94,6418,Chicago
2019,3,95,4688,Chicago
2019,3,96,776,Chicago
2019,3,97,2452,Chicago
2019,3,J14,8433,Chicago
2019,3,X49,6709,Chicago
2019,3,X9,8276,Chicago
2019,3,X98,13,Chicago
2019,4,1,1711,Chicago
2019,4,100,455,Chicago
2019,4,1001,92,Chicago
2019,4,103,1591,Chicago
2019,4,106,907,Chicago
2019,4,108,984,Chicago
2019,4,11,1281,Chicago
2019,4,111,2477,Chicago
2019,4,111A,173,Chicago
2019,4,112,1413,Chicago
2019,4,115,2376,Chicago
2019,4,119,3504,Chicago
2019,4,12,10340,Chicago
2019,4,120,787,Chicago
2019,4,121,1115,Chicago
2019,4,124,950,Chicago
2019,4,125,1163,Chicago
2019,4,126,4114,Chicago
2019,4,134,3004,Chicago
2019,4,135,3538,Chicago
2019,4,136,1969,Chicago
2019,4,143,1803,Chicago
2019,4,146,11596,Chicago
2019,4,147,10451,Chicago
2019,4,148,2503,Chicago
2019,4,15,5976,Chicago
2019,4,151,13449,Chicago
2019,4,152,7717,Chicago
2019,4,155,5762,Chicago
2019,4,156,6648,Chicago
2019,4,157,6531,Chicago
2019,4,165,186,Chicago
2019,4,169,84,Chicago
2019,4,171,1021,Chicago
2019,4,172,1822,Chicago
2019,4,18,3346,Chicago
2019,4,19,184,Chicago
2019,4,192,812,Chicago
2019,4,2,3577,Chicago
2019,4,20,13817,Chicago
2019,4,201,2308,Chicago
2019,4,206,678,Chicago
2019,4,21,7841,Chicago
2019,4,22,14783,Chicago
2019,4,24,2606,Chicago
2019,4,26,4174,Chicago
2019,4,28,4806,Chicago
2019,4,29,9724,Chicago
2019,4,3,14289,Chicago
2019,4,30,2489,Chicago
2019,4,31,552,Chicago
2019,4,34,3954,Chicago
2019,4,35,3982,Chicago
2019,4,36,11432,Chicago
2019,4,37,1468,Chicago
2019,4,39,1489,Chicago
2019,4,4,17015,Chicago
2019,4,43,1147,Chicago
2019,4,44,2547,Chicago
2019,4,47,7773,Chicago
2019,4,48,830,Chicago
2019,4,49,13988,Chicago
2019,4,49B,4465,Chicago
2019,4,5,387,Chicago
2019,4,50,8008,Chicago
2019,4,51,1105,Chicago
2019,4,52,10328,Chicago
2019,4,52A,3267,Chicago
2019,4,53,15320,Chicago
2019,4,53A,5885,Chicago
2019,4,54,8459,Chicago
2019,4,54A,732,Chicago
2019,4,54B,2422,Chicago
2019,4,55,7773,Chicago
2019,4,55A,297,Chicago
2019,4,55N,463,Chicago
2019,4,56,6766,Chicago
2019,4,57,1857,Chicago
2019,4,59,2871,Chicago
2019,4,6,8395,Chicago
2019,4,60,9755,Chicago
